Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events ≤ t,-1,-0.041516222059726715,157999
Sum of contribution of events > t,-2,-0.14373251795768738,157999
Sum of contribution of events ≤ t,-2,0.0,157999
Sum of contribution of events > t,0,0.0,126989
Sum of contribution of events ≤ t,0,0.46453845500946045,126989
Sum of contribution of events > t,-1,0.07491886615753174,126989
Sum of contribution of events ≤ t,-1,0.3896195888519287,126989
Sum of contribution of events > t,-2,0.02336329221725464,126989
Sum of contribution of events ≤ t,-2,0.4411751627922058,126989
Sum of contribution of events > t,-3,0.03727349638938904,126989
Sum of contribution of events ≤ t,-3,0.4272649586200714,126989
Sum of contribution of events > t,-4,-0.03191754221916199,126989
Sum of contribution of events ≤ t,-4,0.49645599722862244,126989
Sum of contribution of events > t,-5,0.46453845500946045,126989
Sum of contribution of events ≤ t,-5,0.0,126989
Sum of contribution of events > t,0,0.0,160326
Sum of contribution of events ≤ t,0,0.32535672187805176,160326
Sum of contribution of events > t,-1,0.32535672187805176,160326
Sum of contribution of events ≤ t,-1,0.0,160326
Sum of contribution of events > t,0,0.0,178063
Sum of contribution of events ≤ t,0,-0.02234172821044922,178063
Sum of contribution of events > t,-1,-0.02234172821044922,178063
Sum of contribution of events ≤ t,-1,0.0,178063
Sum of contribution of events > t,0,0.0,117309
Sum of contribution of events ≤ t,0,0.3651151657104492,117309
Sum of contribution of events > t,-1,-0.018072977662086487,117309
Sum of contribution of events ≤ t,-1,0.3831881433725357,117309
Sum of contribution of events > t,-2,-0.047093361616134644,117309
Sum of contribution of events ≤ t,-2,0.41220852732658386,117309
Sum of contribution of events > t,-3,-0.0722195953130722,117309
Sum of contribution of events ≤ t,-3,0.4373347610235214,117309
Sum of contribution of events > t,-4,-0.08466564118862152,117309
Sum of contribution of events ≤ t,-4,0.44978080689907074,117309
Sum of contribution of events > t,-5,0.3651151657104492,117309
Sum of contribution of events ≤ t,-5,0.0,117309
Sum of contribution of events > t,0,0.0,124661
Sum of contribution of events ≤ t,0,0.48426106572151184,124661
Sum of contribution of events > t,-1,-0.004852205514907837,124661
Sum of contribution of events ≤ t,-1,0.4891132712364197,124661
Sum of contribution of events > t,-2,0.48426106572151184,124661
Sum of contribution of events ≤ t,-2,0.0,124661
Sum of contribution of events > t,0,0.0,117676
Sum of contribution of events ≤ t,0,0.04117894172668457,117676
Sum of contribution of events > t,-1,-0.014054805040359497,117676
Sum of contribution of events ≤ t,-1,0.05523374676704407,117676
Sum of contribution of events > t,-2,-0.13623902201652527,117676
Sum of contribution of events ≤ t,-2,0.17741796374320984,117676
Sum of contribution of events > t,-3,-0.1364390254020691,117676
Sum of contribution of events ≤ t,-3,0.17761796712875366,117676
Sum of contribution of events > t,-4,-0.1349828839302063,117676
Sum of contribution of events ≤ t,-4,0.17616182565689087,117676
Sum of contribution of events > t,-5,-0.1336764097213745,117676
Sum of contribution of events ≤ t,-5,0.17485535144805908,117676
Sum of contribution of events > t,-6,-0.13352733850479126,117676
Sum of contribution of events ≤ t,-6,0.17470628023147583,117676
Sum of contribution of events > t,-7,-0.1319793164730072,117676
Sum of contribution of events ≤ t,-7,0.17315825819969177,117676
Sum of contribution of events > t,-8,0.04117894172668457,117676
Sum of contribution of events ≤ t,-8,0.0,117676
Sum of contribution of events > t,0,0.0,109202
Sum of contribution of events ≤ t,0,0.39761894941329956,109202
Sum of contribution of events > t,-1,0.14409756660461426,109202
Sum of contribution of events ≤ t,-1,0.2535213828086853,109202
Sum of contribution of events > t,-2,0.1373218297958374,109202
Sum of contribution of events ≤ t,-2,0.26029711961746216,109202
Sum of contribution of events > t,-3,0.12823021411895752,109202
Sum of contribution of events ≤ t,-3,0.26938873529434204,109202
Sum of contribution of events > t,-4,0.12407037615776062,109202
Sum of contribution of events ≤ t,-4,0.27354857325553894,109202
Sum of contribution of events > t,-5,0.11475232243537903,109202
Sum of contribution of events ≤ t,-5,0.28286662697792053,109202
Sum of contribution of events > t,-6,0.39761894941329956,109202
Sum of contribution of events ≤ t,-6,0.0,109202
Sum of contribution of events > t,0,0.0,187861
Sum of contribution of events ≤ t,0,0.233379065990448,187861
Sum of contribution of events > t,-1,-0.04061764478683472,187861
Sum of contribution of events ≤ t,-1,0.2739967107772827,187861
Sum of contribution of events > t,-2,-0.053548216819763184,187861
Sum of contribution of events ≤ t,-2,0.2869272828102112,187861
Sum of contribution of events > t,-3,-0.1439191997051239,187861
Sum of contribution of events ≤ t,-3,0.3772982656955719,187861
Sum of contribution of events > t,-4,-0.16388772428035736,187861
Sum of contribution of events ≤ t,-4,0.39726679027080536,187861
Sum of contribution of events > t,-5,-0.2785799205303192,187861
Sum of contribution of events ≤ t,-5,0.5119589865207672,187861
Sum of contribution of events > t,-6,0.22369498014450073,187861
Sum of contribution of events ≤ t,-6,0.009684085845947266,187861
Sum of contribution of events > t,-7,0.233379065990448,187861
Sum of contribution of events ≤ t,-7,0.0,187861
Sum of contribution of events > t,0,0.0,197798
Sum of contribution of events ≤ t,0,0.30473387241363525,197798
Sum of contribution of events > t,-1,0.30473387241363525,197798
Sum of contribution of events ≤ t,-1,0.0,197798
Sum of contribution of events > t,0,0.0,134370
Sum of contribution of events ≤ t,0,0.2772892415523529,134370
Sum of contribution of events > t,-1,0.004502937197685242,134370
Sum of contribution of events ≤ t,-1,0.27278630435466766,134370
Sum of contribution of events > t,-2,0.2772892415523529,134370
Sum of contribution of events ≤ t,-2,0.0,134370
Sum of contribution of events > t,0,0.0,105931
Sum of contribution of events ≤ t,0,0.3177344799041748,105931
Sum of contribution of events > t,-1,0.07850542664527893,105931
Sum of contribution of events ≤ t,-1,0.23922905325889587,105931
Sum of contribution of events > t,-2,0.018603086471557617,105931
Sum of contribution of events ≤ t,-2,0.2991313934326172,105931
Sum of contribution of events > t,-3,-0.006252557039260864,105931
Sum of contribution of events ≤ t,-3,0.32398703694343567,105931
Sum of contribution of events > t,-4,-0.032717734575271606,105931
